DONATIONNUMBER,ITEMNUMBER,ITEMDESCRIPTION,DONATIONREASON,PACK,SIZE_,SIZEUOM,PACKAGINGTYPE,UNITOFMEASURE,QUANTITY,QUANTITYPERPALLET,TOTALPALLETS,GROSSWEIGHT,TOTALGROSSWEIGHT,NETWEIGHT,CUBE,STORAGEREQUIREMENT,MANUFACTUREDATE,EXPIRATIONDATE,SHELFLIFE,EXTENSION,USEBYDATE,BILLOFLADINGNUMBER,STATUS,CODEDATETYPE,MAGREFNUMBER
WD18010197,974296,conair pony wrap 3 pc kit,Discontinued Item,/,,,Other,Case,139.0,,,0.06,8.34,,,DRY,,,,,,,Acknowledged,,4000
WD18010183,FEEMA 337890,MRE Kit BLT & Cookies,Disaster Relief,24/10 Pail,10,Pail,,Case,25.0,200.0,0.125,50.0,1250.0,,,DRY,10/20/2018,,100,10,1/27/2019,,Acknowledged,,1000
WD18010183,FEEMA 337891,MRE Kit PB&J W/ crackers,Disaster Relief,/ Bag,,Bag,,Bag,25.0,200.0,0.125,50.0,1250.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,2000
WD18010183,FEEMA 337892,MRE Kit lttl weenies & Soda,Disaster Relief,/ Bag,,Bag,,Bag,25.0,200.0,0.125,50.0,1250.0,,,DRY,10/20/2017,,,,10/20/2017,,Acknowledged,,3000
WD18010183,FEEMA 337894,MRE Kit Cheese & crkrs,Disaster Relief,/ Bag,,Bag,,Bag,25.0,200.0,0.125,50.0,1250.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,4000
WD18010186,ANMBLKCRM,cookies,Discontinued Item,/ Bag,,Bag,,Box,1.0,1.0,1.0,600.0,600.0,,,DRY,10/20/2018,,,1,10/21/2018,,Acknowledged,,1000
WD18010186,ANMTRYTWT,TRY WHT BRD 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,2,10/22/2018,,Acknowledged,,2000
WD18010186,ANMTRYHBN,TRY HOT BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,3,10/23/2018,,Acknowledged,,3000
WD18010186,ANMTRYHBN1,TRY HAM BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,4,10/24/2018,,Acknowledged,,4000
WD18010186,ANMTRYTWT,TRY WHT BRD 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,5000
