org_id,entity_name,printable_name,status_flag,currency,currency_pattern,float_pattern,group_separator,group_size,decimal_char,language,country,time_zone,org_type,created_time,created_by,modified_time,modified_by,sys_flags,path,years_in_business,industry_val_num,annual_rev_vid,emp_count_vid,oca,parent_org_id,master_org_id
ORG_00004JUF,StLouis,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 16:51:42,USER_00004IV5,2006-01-09 17:15:00,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUF,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JUG,Seattle,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 17:04:03,USER_00004IV5,2006-01-09 16:59:06,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUG,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JUH,Denver,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 17:04:42,USER_00004IV5,2006-01-05 00:01:08,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUH,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JUI,Baltimore,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 17:10:26,USER_00004IV5,2006-01-04 22:29:53,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUI,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JUJ,SpokaneZD,Unknown,I,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 21:14:19,USER_00004IV5,2006-01-09 17:08:16,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUJ,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JUK,Spokane,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 21:14:42,USER_00004IV5,2007-06-19 17:27:56,USER_00004SE9,0,ORG_00000001.ORG_00004IFI.ORG_00004JUK,0.0,0.0,0.0,0.0,4,ORG_00004IFI,ORG_00004IFI
ORG_00004JUL,OmahaZD,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 21:15:00,USER_00004IV5,2006-01-05 23:47:58,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUL,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JUM,Omaha,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 21:15:30,USER_00004IV5,2006-01-05 23:46:57,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUM,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JUN,Reading,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 21:16:10,USER_00004IV5,2006-01-06 00:09:19,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUN,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JUO,Tyler,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 21:16:33,USER_00004IV5,2006-01-09 17:24:46,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUO,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
