org_id,org_name,status,created_time,currency,data_source
ORG_00004N2I,McAllen,Active,2004-07-02 17:15:58,USD,Choice
ORG_00004N5H,Oxnard,Active,2004-09-03 17:13:09,USD,Choice
ORG_00004N5I,OxnardZD,Active,2004-09-03 17:15:17,USD,Choice
ORG_00004N5J,NewYorkFRO,Active,2004-09-27 18:15:36,USD,Choice
ORG_00004N5K,Delmont,Active,2004-10-04 13:40:31,USD,Choice
ORG_00004N5L,Phoenix,Active,2004-10-05 14:23:25,USD,Choice
ORG_00004N5M,Lubbock,Active,2004-10-05 15:04:54,USD,Choice
ORG_00004N5N,SiouxFalls,Active,2004-10-08 20:22:18,USD,Choice
ORG_00004N5O,Shreveport,Active,2004-10-13 21:34:40,USD,Choice
ORG_00004N8L,WilkesBarre,Active,2004-10-18 18:43:51,USD,Choice
ORG_00004N8M,SpringfieldIL,Active,2004-10-20 17:14:26,USD,Choice
ORG_00004N8N,Victoria,Active,2004-10-25 22:45:54,USD,Choice
ORG_00004N8O,Jackson,Active,2004-10-26 19:47:23,USD,Choice
ORG_00004N8P,SanDiego,Active,2004-10-26 21:21:17,USD,Choice
ORG_00004N8Q,Richmond,Active,2004-11-03 20:42:52,USD,Choice
ORG_00004N8R,Macon,Active,2004-11-12 22:24:47,USD,Choice
ORG_00004N8S,Greeley,Active,2004-11-17 16:47:04,USD,Choice
ORG_00004N8T,LasVegas,Active,2004-11-22 22:09:15,USD,Choice
ORG_00004N8U,ColumbusGAZD,Active,2004-11-23 22:00:37,USD,Choice
ORG_00004N8V,MilwaukeeZC,Active,2004-11-23 22:03:49,USD,Choice
ORG_00004N90,OaklandZC,Active,2004-11-23 22:06:31,USD,Choice
ORG_00004N91,Cleveland,Active,2004-11-23 22:11:35,USD,Choice
ORG_00004N92,ColumbusGA,Active,2004-11-23 22:15:13,USD,Choice
ORG_00004N93,ColumbusOH,Active,2004-11-23 22:18:37,USD,Choice
ORG_00004N94,Crookston,Active,2004-11-23 22:20:46,USD,Choice
ORG_00004N95,DesMoines,Active,2004-11-23 22:22:51,USD,Choice
ORG_00004N96,Erie,Active,2004-11-23 22:25:55,USD,Choice
ORG_00004N97,Flint,Active,2004-11-23 22:28:26,USD,Choice
ORG_00004N98,FresnoFB,Active,2004-11-23 22:35:53,USD,Choice
ORG_00004N99,FtMyers,Active,2004-11-23 22:43:01,USD,Choice
ORG_00004N9A,FtWorth,Active,2004-11-23 22:44:55,USD,Choice
ORG_00004N9B,Lansing,Active,2004-11-23 22:47:18,USD,Choice
ORG_00004N9C,Milwaukee,Active,2004-11-23 22:49:15,USD,Choice
ORG_00004N9D,NorfolkFB,Active,2004-11-23 22:51:00,USD,Choice
ORG_00004N9E,Oakland,Active,2004-11-23 22:53:07,USD,Choice
ORG_00004N9F,Riverside,Active,2004-11-23 22:55:37,USD,Choice
ORG_00004N9G,Sacramento,Active,2004-11-23 22:57:11,USD,Choice
ORG_00004N9H,SanFrancisco,Active,2004-11-23 22:58:49,USD,Choice
ORG_00004N9I,SanJose,Active,2004-11-23 23:01:27,USD,Choice
ORG_00004N9J,SantaRosa,Active,2004-11-23 23:03:46,USD,Choice
ORG_00004N9K,Tulsa,Active,2004-11-23 23:06:10,USD,Choice
ORG_00004N9L,VisaliaFB,Active,2004-11-23 23:09:09,USD,Choice
ORG_00004N9M,Manteca,Active,2004-11-23 23:19:45,USD,Choice
ORG_00004N9N,Abilene,Active,2004-11-24 15:23:15,USD,Choice
ORG_00004N9O,Akron,Active,2004-11-24 15:24:52,USD,Choice
ORG_00004N9P,Alexandria,Active,2004-11-24 15:26:27,USD,Choice
ORG_00004N9Q,Amarillo,Active,2004-11-24 15:28:11,USD,Choice
ORG_00004N9R,Anderson,Active,2004-11-24 15:31:09,USD,Choice
ORG_00004N9S,Asheville,Active,2004-11-24 15:34:18,USD,Choice
ORG_00004N9T,AthensFRO,Active,2004-11-24 15:36:40,USD,Choice
ORG_00004N9U,BatonRouge,Active,2004-11-24 15:42:52,USD,Choice
ORG_00004N9V,Beaumont,Active,2004-11-24 15:44:43,USD,Choice
ORG_00004NA0,Bloomington,Active,2004-11-24 15:47:54,USD,Choice
ORG_00004NA1,CathedralCity,Active,2004-11-24 16:06:33,USD,Choice
ORG_00004NA2,CharlotteFRO,Active,2004-11-24 16:09:45,USD,Choice
ORG_00004NA3,ComstockPark,Active,2004-11-24 16:12:59,USD,Choice
ORG_00004NA4,Concord,Active,2004-11-24 16:15:09,USD,Choice
ORG_00004NA5,CorpusChristi,Active,2004-11-24 16:17:15,USD,Choice
ORG_00004NA6,Dayton,Active,2004-11-24 16:18:57,USD,Choice
ORG_00004NA7,Detroit,Active,2004-11-24 16:22:45,USD,Choice
ORG_00004NA8,Duluth,Active,2004-11-24 16:26:19,USD,Choice
ORG_00004NA9,ElizabethCity,Active,2004-11-24 16:32:03,USD,Choice
ORG_00004NAA,Elizabethtown,Active,2004-11-24 16:37:14,USD,Choice
