ORGNAME,CITY,NEWGOALFACTOR,FOODBANKGOALFACTOR,ISFRO,FROGOALFACTORWITHFEC,INITIALSHARES,INITIALCREDIT,TEMPCOLUMN1,TEMPCOLUMN2,TEMPCOLUMN3,TEMPCOLUMN4,STATE,CURRENTSHARES,CURRENTCREDIT,CREDITSHARESBORROWED,CREDITSHARESPAID
MadisonFB,Madison,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,WI,0.0,0.0,0.0,0.0
MadisonFRO,Madison,0.0,0.0,0,0.0,1145.3911594885822,67354.60884051141,0.0,0.0,0.0,0.0,WI,0.0,0.0,0.0,0.0
Manchester,Manchester,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,NH,0.0,0.0,0.0,0.0
Manteca,Manteca,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,CA,21013.63396576431,0.0,0.0,0.0
Mauldin,Mauldin,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,SC,0.0,0.0,0.0,0.0
McAllen,McAllen,0.47,0.47,0,,54751.96552486015,45750.0,0.0,0.0,0.0,0.0,TX,200000.0,40000.0,27637.0,27637.0
Memphis,Memphis,0.88,0.88,0,,0.0,20000.0,0.0,0.0,0.0,0.0,TN,116026.99514132136,30000.0,869754.0,869754.0
Millwood,Millwood,0.08,0.08,0,,0.0,0.0,0.0,0.0,0.0,0.0,NY,38199.13742586304,0.0,0.0,0.0
Milwaukee,Milwaukee,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,WI,50.0,0.0,0.0,0.0
Missoula,Missoula,0.3,0.3,0,,0.0,53500.0,0.0,0.0,0.0,0.0,MT,47392.41505820008,4731.478429375242,374509.0,289322.8037804247
Moline,Moline,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IL,1501.0,0.0,0.0,0.0
MolineZD,ZD-MOLINE,0.45,0.45,0,,28889.94038413033,45750.0,0.0,0.0,0.0,0.0,IL,108202.47765881408,40000.0,0.0,0.0
NeptuneFRO,Neptune,0.21,0.21,0,0.056666666666666664,7841.960265211432,57000.0,0.0,0.0,0.0,0.0,NJ,554.1820147035284,22265.551883875036,521602.0,486867.95796103566
NewportNews,Newport News,0.15,0.15,0,,2166.036747151675,62250.0,0.0,0.0,0.0,0.0,VA,44126.875174142355,62250.0,87663.0,87663.0
NewYork,New York,2.18,2.18,0,,226492.59640896996,0.0,0.0,0.0,0.0,0.0,NY,4315.471242580029,0.0,0.0,0.0
NorfolkFB,Norfolk,0.36,0.36,0,,0.0,50000.0,0.0,0.0,0.0,0.0,VA,200000.0,53500.0,40968.0,40968.0
Oakland,Oakland,0.51,0.51,0,,0.0,40000.0,0.0,0.0,0.0,0.0,CA,2357.2605242692407,11578.477098638428,198509.0,164337.47709863842
Omaha,Omaha,0.47,0.47,0,,0.0,45750.0,0.0,0.0,0.0,0.0,NE,200000.0,45750.0,0.0,0.0
Ottumwa,Ottumwa,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IA,0.0,0.0,0.0,0.0
Pennsauken,Pennsauken,0.23,0.23,0,,16148.881298136052,57000.0,0.0,0.0,0.0,0.0,NJ,198562.04549957588,53500.0,169186.0,169186.0
Peoria,Peoria,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IL,0.0,0.0,0.0,0.0
PhiladelphiaFRO,Philadelphia,1.4,1.4,0,0.47333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,PA,140032.55695165962,0.0,0.0,0.0
PhiladelphiaFROZC,Philadelphia,0.0,0.0,0,,79247.45962877439,0.0,0.0,0.0,0.0,0.0,PA,0.0,0.0,0.0,0.0
Phoenix,Phoenix,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,4000.0,0.0,0.0,0.0
Pontiac,Pontiac,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MI,0.0,0.0,0.0,0.0
PortlandORFRO,Portland,0.0,0.0,0,0.02666666666666667,3277.406387051488,68000.0,0.0,0.0,0.0,0.0,OR,1026.0654606003511,9688.138667909132,82184.0,23872.13866790913
WestWarwick,Providence,0.34,0.34,0,,0.0,50000.0,0.0,0.0,0.0,0.0,RI,23180.076626826394,24181.043380158433,617280.0,591461.0433801585
MissoulaFRO,Missoula,0.0,0.0,0,0.0,748.4734309529349,67751.52656904707,0.0,0.0,0.0,0.0,MT,0.5181703760988413,0.0,0.0,0.0
ArdenHillsZD,ZD-ARDEN HILLS,1.51,1.51,0,,102937.77776908774,0.0,0.0,0.0,0.0,0.0,MN,59790.03244766031,0.0,0.0,0.0
coloradospringsZC,ZC-COLORADO SPG,0.61,0.61,0,,26179.559323558336,34000.0,0.0,0.0,0.0,0.0,CO,1876.6436494739567,23729.04669244549,1221789.0,1205517.6072254027
NewYorkFRO,New York,0.93,0.93,0,0.3,56101.485801881354,17500.0,0.0,0.0,0.0,0.0,NY,8482.81641365659,1965.3140114194223,605652.0,587617.0819169787
Anchorage,Anchorage,0.21,0.21,0,,10926.57804125989,57000.0,0.0,0.0,0.0,0.0,AK,200000.0,64487.83089423349,169213.0,158599.65993970353
Austin,Austin,1.0,1.0,0,,38313.90131021955,11000.0,0.0,0.0,0.0,0.0,TX,48800.56892189812,30000.395943812062,679863.0,679863.0
CharlotteFRO,Charlotte,0.0,0.0,0,0.0,1151.0614127533772,67348.93858724662,0.0,0.0,0.0,0.0,NC,0.0,0.0,0.0,0.0
Denver,Denver,1.08,1.08,0,,54264.323744087786,5500.0,0.0,0.0,0.0,0.0,CO,4922.233522991752,1442.6927685456274,1559496.0,1549719.0141593853
ErieZC,ZC-ERIE,0.23,0.23,0,,16330.32940260949,57000.0,0.0,0.0,0.0,0.0,PA,24818.238931640964,57501.250430876215,635541.6870152737,584381.847009204
